iter	Accuracy	MultiClass
636	1	0.07587284839
637	1	0.07565017993
638	1	0.07552179996
639	1	0.07536417881
640	1	0.07519147528
641	1	0.07507084604
642	1	0.07498362879
643	1	0.07484532528
644	1	0.07469015674
645	1	0.07456004367
646	1	0.0742505839
647	1	0.07410215096
648	1	0.07398052397
649	1	0.07384981624
650	1	0.0736601615
651	1	0.073517579
652	1	0.0733972619
653	1	0.07325062581
654	1	0.07307661727
655	1	0.07294338391
656	1	0.07280454149
657	1	0.07268711633
658	1	0.07256894203
659	1	0.07245496807
660	1	0.07229202061
661	1	0.07220615094
662	1	0.07200208708
663	1	0.07177715332
664	1	0.0715585336
665	1	0.07138081677
666	1	0.07117083543
667	1	0.07104059303
668	1	0.07092040976
669	1	0.07082262887
670	1	0.07061614973
671	1	0.07043421002
672	1	0.07022485991
673	1	0.07006139584
674	1	0.06982122633
675	1	0.069730999
676	1	0.06965000122
677	1	0.0695513169
678	1	0.06936955248
679	1	0.06916702366
680	1	0.06908879236
681	1	0.06892393567
682	1	0.06884217177
683	1	0.06870028823
684	1	0.06855519013
685	1	0.06844392111
686	1	0.068299508
687	1	0.06820105367
688	1	0.06808212742
689	1	0.06805282914
690	1	0.06790922507
691	1	0.06775476464
692	1	0.06768173142
693	1	0.06752769084
694	1	0.06736142882
695	1	0.06722015516
696	1	0.06699442482
697	1	0.06685138205
698	1	0.06671992994
699	1	0.06667532534
700	1	0.06655207482
701	1	0.06645439533
702	1	0.06634520456
703	1	0.06622060481
704	1	0.06613189583
705	1	0.06604827987
706	1	0.06593588279
707	1	0.06576180779
708	1	0.06566416115
709	1	0.06550612079
710	1	0.06533436334
711	1	0.0652167674
712	1	0.06511202595
713	1	0.06500048623
714	1	0.06491044343
715	1	0.06484325132
716	1	0.06471073357
717	1	0.06460814303
718	1	0.06449763751
719	1	0.0643645662
720	1	0.06431503386
721	1	0.06403892166
722	1	0.06392103686
723	1	0.06377423066
724	1	0.06368680928
725	1	0.06355485629
726	1	0.06344659683
727	1	0.06329145396
728	1	0.06316629861
729	1	0.06305879217
730	1	0.06294553479
731	1	0.06290379953
732	1	0.06281078879
733	1	0.06269045294
734	1	0.06260034111
735	1	0.06249866578
736	1	0.06240470058
737	1	0.06234169664
738	1	0.06217136199
739	1	0.06207144672
740	1	0.061918616
741	1	0.06186882072
742	1	0.0617342946
743	1	0.06162848578
744	1	0.06145656199
745	1	0.06136449631
746	1	0.06130111298
747	1	0.06113964771
748	1	0.06099314648
749	1	0.06087245912
750	1	0.06077819453
751	1	0.06065546694
752	1	0.06053374311
753	1	0.06048009673
754	1	0.06041930952
755	1	0.06036170548
756	1	0.06033228792
757	1	0.06023871761
758	1	0.06008200611
759	1	0.05996300512
760	1	0.0598595487
761	1	0.05979287639
762	1	0.0596926428
763	1	0.05957409157
764	1	0.05939257659
765	1	0.05931340725
766	1	0.05913824807
767	1	0.05907309495
768	1	0.05905325917
769	1	0.05898384807
770	1	0.05892381689
771	1	0.05877777532
772	1	0.05862268195
773	1	0.05853621099
774	1	0.05844563836
775	1	0.05832813316
776	1	0.05824060732
777	1	0.05816799543
778	1	0.05809012805
779	1	0.05800951751
780	1	0.05793444186
781	1	0.05788855032
782	1	0.05775380597
783	1	0.05769699675
784	1	0.05758427503
785	1	0.05749803071
786	1	0.0573803008
787	1	0.05725234641
788	1	0.05717023617
789	1	0.05711124636
790	1	0.05706274062
791	1	0.05700075317
792	1	0.05690213726
793	1	0.05677769223
794	1	0.05664496227
795	1	0.05659554908
796	1	0.05650201402
797	1	0.05637384013
798	1	0.05631827818
799	1	0.05617679251
800	1	0.05604253948
801	1	0.05592864263
802	1	0.05582500048
803	1	0.05570272302
804	1	0.05564858729
805	1	0.05552039901
806	1	0.05542050145
807	1	0.05530715096
808	1	0.0551736534
809	1	0.05510855419
810	1	0.05498379844
811	1	0.05489159412
812	1	0.05477962086
813	1	0.05467930195
814	1	0.05458750857
815	1	0.05447350579
816	1	0.05436432115
817	1	0.05424219201
818	1	0.05413286953
819	1	0.05405462795
820	1	0.05394264059
821	1	0.05383507136
822	1	0.05375899211
823	1	0.05367587524
824	1	0.05354476985
825	1	0.05343764498
826	1	0.05334425691
827	1	0.05328319045
828	1	0.05320611004
829	1	0.05315263392
830	1	0.05302530189
831	1	0.0529703592
832	1	0.05291886966
833	1	0.05283286954
834	1	0.05276324398
835	1	0.05263375017
836	1	0.05251447846
837	1	0.0524512645
838	1	0.05235929908
839	1	0.05229393432
840	1	0.05224955092
841	1	0.05219353861
842	1	0.05210478476
843	1	0.05203516247
844	1	0.05198500933
845	1	0.05190814276
846	1	0.0518491388
847	1	0.05173023084
848	1	0.05169578033
849	1	0.05164523772
850	1	0.05154451187
851	1	0.05148275325
852	1	0.05137326269
853	1	0.05130934496
854	1	0.05124922867
855	1	0.05111332165
856	1	0.051000195
857	1	0.05093676792
858	1	0.05085553739
859	1	0.05074581497
860	1	0.05066410462
861	1	0.05057837109
862	1	0.05051528595
863	1	0.05044673074
864	1	0.05038584402
865	1	0.05031614807
866	1	0.05022016092
867	1	0.05017196138
868	1	0.0501016514
869	1	0.05004062494
870	1	0.04995861572
871	1	0.04985589477
872	1	0.04975469013
873	1	0.04963829131
874	1	0.04955579489
875	1	0.04949642882
876	1	0.04944549983
877	1	0.04938560422
878	1	0.0493164631
879	1	0.04918835768
880	1	0.0491167729
881	1	0.04905013522
882	1	0.04896584993
883	1	0.04890923864
884	1	0.04883582838
885	1	0.04872261944
886	1	0.0486091557
887	1	0.04850815528
888	1	0.04844225817
889	1	0.04835415447
890	1	0.04828178478
891	1	0.04820592716
892	1	0.04812415695
893	1	0.04805357746
894	1	0.04801782781
895	1	0.04792431209
896	1	0.04781982584
897	1	0.04773482466
898	1	0.04765898995
899	1	0.04758586516
900	1	0.04750696088
901	1	0.047462742
902	1	0.04737286477
903	1	0.04726943273
904	1	0.04722629237
905	1	0.04715323703
906	1	0.04710556391
907	1	0.04705159675
908	1	0.047008874
909	1	0.04693568676
910	1	0.04688426155
911	1	0.04678655539
912	1	0.04669862327
913	1	0.04661687387
914	1	0.04651145266
915	1	0.04643413372
916	1	0.04637804327
917	1	0.04632321975
918	1	0.04621741945
919	1	0.04612156869
920	1	0.04604261052
921	1	0.04596578445
922	1	0.04586691077
923	1	0.04580259555
924	1	0.04570853665
925	1	0.0456231473
926	1	0.04558252222
927	1	0.04550940054
928	1	0.04545952629
929	1	0.04541240003
930	1	0.04532439012
931	1	0.04527159225
932	1	0.04520706029
933	1	0.04514422977
934	1	0.04512798758
935	1	0.04506834721
936	1	0.04499953378
937	1	0.04497193827
938	1	0.04492440373
939	1	0.0448462058
940	1	0.04475643273
941	1	0.04467638938
942	1	0.04460927131
943	1	0.04454965956
944	1	0.04449735511
945	1	0.04444438843
946	1	0.0443539188
947	1	0.04426490243
948	1	0.04419048721
949	1	0.0441333883
950	1	0.04407329739
951	1	0.04399335268
952	1	0.04395928865
953	1	0.04392799589
954	1	0.04390160064
955	1	0.04381090413
956	1	0.04376470316
957	1	0.04368867965
958	1	0.04365738628
959	1	0.0435872033
960	1	0.04354520565
961	1	0.04348182332
962	1	0.04338175816
963	1	0.04332508588
964	1	0.04324152381
965	1	0.04318610478
966	1	0.04311837378
967	1	0.04306207349
968	1	0.04304626146
969	1	0.04296445219
970	1	0.04290396389
971	1	0.04284476527
972	1	0.04279747388
973	1	0.04271425797
974	1	0.04267455997
975	1	0.04262679662
976	1	0.04255734769
977	1	0.04249418225
978	1	0.04241626971
979	1	0.04237265922
980	1	0.04230083713
981	1	0.04225479698
982	1	0.04220073443
983	1	0.04215758056
984	1	0.04212600904
985	1	0.04205227342
986	1	0.04194787652
987	1	0.04188453189
988	1	0.04182961447
989	1	0.04174021244
990	1	0.04170126647
991	1	0.04165396551
992	1	0.04159634107
993	1	0.04151139751
994	1	0.04146107505
995	1	0.04140890733
996	1	0.04135769877
997	1	0.04130970109
998	1	0.0412472706
999	1	0.04116028999
